"Reference","Value","Footprint","Datasheet","Farnell","link","Qty"
"C1, C3","100n","Resistor_SMD:R_0805_2012Metric","~","~","~","2"
"C2","10n","Resistor_SMD:R_0805_2012Metric","~","~","~","1"
"C4","1u","Resistor_SMD:R_0805_2012Metric","~","~","~","1"
"D1","LED","LED_SMD:LED_0805_2012Metric","https://www.farnell.com/datasheets/622356.pdf","1318244","https://nl.farnell.com/1318244","1"
"J1","48037-0001","kicad_custom_parts:Molex_48037-0001","https://www.japanese.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/480/48037/480370001_sd.pdf","2067044","https://nl.farnell.com/2067044","1"
"J2","67643-0910","Connector_USB:USB_A_Molex_67643_Horizontal"," https://www.japanese.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/676/67643/676430910_sd.pdf","1450206","https://nl.farnell.com/1450206","1"
"Q1","IRLML2803TRPBF","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/Infineon-IRLML2803-DataSheet-v01_01-EN.pdf?fileId=5546d462533600a4015356682aff260f","9102701","https://nl.farnell.com/9102701","1"
"R1, R3","10k","Resistor_SMD:R_0805_2012Metric","~","~","~","2"
"R2, R4","330","Resistor_SMD:R_0805_2012Metric","~","~","~","2"
"U1","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.wch-ic.com/downloads/CH340DS1_PDF.html","","https://www.lcsc.com/product-detail/USB-ICs_WCH-Jiangsu-Qin-Heng-CH340C_C84681.html","1"
"U2","74HC74","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT74.pdf","1201317","https://nl.farnell.com/1201317","1"
